tag,data,term,estimate,std.error,statistic,p.value,rank
practices_social_justice,,sy_i,0.04485294117647065,NA,NA,NA,38
practices_reallocation_resources,,sy_i,0.04166666666666675,0.035688908108025504,1.1674962579563202,0.4509019073426521,39
practices_enriched_virtual,,sy_i,0.041666666666666664,0.06736545376603631,0.6185168263154159,0.6473612405684372,40
practices_student_conferences,,sy_i,0.041666666666666644,0.031043014744850588,1.3422235890790313,0.40763669744470843,41
practices_service_learning,,sy_i,0.04166666666666663,0.04466392937779527,0.9328929909910986,0.5220935645584666,42
practices_pbl,,sy_i,0.03819444444444449,0.027734575531680544,1.377141842348223,0.3998329180555534,43
practices_competency_education,,sy_i,0.03819444444444447,0.02224397428429208,1.717069259130373,0.3357332784529995,44
practices_real_world,,sy_i,0.03472222222222234,0.02981114908037242,1.1647394781264355,0.45164561367164147,45
practices_adaptive_content,,sy_i,0.03472222222222222,0.01907631971849098,1.8201740553008983,0.31982562145977844,46
practices_station_rotation,,sy_i,0.02777777777777782,0.02910722584352771,0.9543258408445852,0.5148756057053799,47
practices_design_thinking,,sy_i,0.02777777777777776,0.038926954997511025,0.7135872245736626,0.6054314559208833,48
practices_accommodations,,sy_i,0.02430555555555554,0.02013220457375798,1.2072972667502821,0.4403870092923914,49.5
practices_individual_rotation,,sy_i,0.02430555555555554,0.0063001129697599365,3.8579555116265944,0.16146136790994484,49.5
practices_advancement_mastery,,sy_i,0.02083333333333336,0.04265774815278788,0.4883833356302425,0.7107765300635411,51
practices_flexible_facilities,,sy_i,0.020833333333333332,0.036111262050132396,0.576920665481337,0.666871825485236,52
practices_flex,,sy_i,0.020833333333333325,0.012353852806624217,1.68638348371468,0.3407478026879569,53
practices_learner_profiles,,sy_i,0.020833333333333235,0.0013726503118471091,15.177451353432344,0.04188456508663813,54
practices_interdisciplinary,,sy_i,0.017361111111111202,0.028896048872474284,0.6008126297034678,0.6555780029091327,55
practices_student_pace,,sy_i,0.01736111111111112,0.025306040364566407,0.6860461321092414,0.6172008911544573,56
practices_elimination_tracking,,sy_i,-0.017361111111111112,0.034773807900127435,-0.4992582682050041,0.7052106376681186,57
practices_student_goals,,sy_i,-0.0173611111111111,0.0602206329120628,-0.28829174107921895,0.8213129488121603,58
practices_learning_paths,,sy_i,-0.017361111111111074,0.040264409147515966,-0.43117759526795724,0.7408375219228797,59
practices_flexible_staffing,,sy_i,0.013888888888888978,0.02389819389087705,0.5811689767146359,0.6648463830269629,60
practices_advisories,,sy_i,0.013888888888888945,0.018090827186908395,0.7677310023136905,0.5831714785777341,61
practices_portfolios_exhibitions,,sy_i,0.013888888888888938,0.055152385606781054,0.2518275272426526,0.8429472086478601,62
practices_makerspace,,sy_i,0.010416666666666713,0.057862490068633046,0.18002451422866667,0.8866073977985174,63
practices_performance_assessment,,sy_i,0.010416666666666696,0.0342106693106517,0.304485906781818,0.81183607184917,64
practices_expanded_open_hours,,sy_i,0.010416666666666654,0.03209889960011762,0.3245178743332523,0.8002314076155677,65
practices_multi_age,,sy_i,-0.006944444444444486,0.025798786630357697,-0.26917717270752906,0.8326041687355097,66
practices_interoperability,,sy_i,-0.003472222222222208,0.0013022579881626576,-2.666309021548895,0.22842857636518482,67
practices_mentoring,,sy_i,0.0034722222222222003,0.02073053932507599,0.16749309643006466,0.8943512532543594,68
