school_id,dem,value,labels
44,multiple_percent,0.0302,Multiracial students
44,white_percent,0.2241,White students
44,ell_percent,0.0347,English language learners
44,frpl_percent,0.6351,"Students eligible for
free/reduced-price lunch"
44,swd_percent,0.1782,Students with Disabilities
45,aian_percent,0.01,"American and
Alaska Native students"
45,asian_percent,0.04,Asian students
45,black_percent,0.03,Black students
45,hispanic_percent,0.09,Hispanic or Latina/o/x students
45,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
45,multiple_percent,0.12,Multiracial students
45,white_percent,0.71,White students
45,ell_percent,0.03,English language learners
45,frpl_percent,0.24,"Students eligible for
free/reduced-price lunch"
45,swd_percent,0.21,Students with Disabilities
47,aian_percent,0.003,"American and
Alaska Native students"
47,asian_percent,0.006,Asian students
47,black_percent,0.3164,Black students
47,hispanic_percent,0.6567,Hispanic or Latina/o/x students
47,nhpi_percent,0.006,"Native Hawaiian and
Pacific Islander students"
47,multiple_percent,0,Multiracial students
47,white_percent,0.0119,White students
47,ell_percent,0.28,English language learners
47,frpl_percent,0.8512,"Students eligible for
free/reduced-price lunch"
47,swd_percent,0.21,Students with Disabilities
52,aian_percent,0,"American and
Alaska Native students"
52,asian_percent,0.01,Asian students
52,black_percent,0.08,Black students
52,hispanic_percent,0,Hispanic or Latina/o/x students
52,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
52,multiple_percent,0,Multiracial students
52,white_percent,0,White students
52,ell_percent,0,English language learners
52,frpl_percent,0,"Students eligible for
free/reduced-price lunch"
52,swd_percent,0,Students with Disabilities
67,aian_percent,0.0254,"American and
Alaska Native students"
67,asian_percent,0,Asian students
67,black_percent,0.2034,Black students
67,hispanic_percent,0.5169,Hispanic or Latina/o/x students
67,nhpi_percent,0.0085,"Native Hawaiian and
Pacific Islander students"
67,multiple_percent,0.1017,Multiracial students
67,white_percent,0.1441,White students
67,ell_percent,0.11,English language learners
67,frpl_percent,0.7833,"Students eligible for
free/reduced-price lunch"
67,swd_percent,0.33,Students with Disabilities
69,aian_percent,0.0036,"American and
Alaska Native students"
69,asian_percent,0.0214,Asian students
69,black_percent,0.0285,Black students
69,hispanic_percent,0.0391,Hispanic or Latina/o/x students
69,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
69,multiple_percent,0.0605,Multiracial students
69,white_percent,0.847,White students
69,ell_percent,0.0034,English language learners
69,frpl_percent,0.0512,"Students eligible for
free/reduced-price lunch"
69,swd_percent,0.0712,Students with Disabilities
70,aian_percent,0,"American and
Alaska Native students"
70,asian_percent,0.0023,Asian students
70,black_percent,0.007,Black students
70,hispanic_percent,0.0302,Hispanic or Latina/o/x students
70,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
70,multiple_percent,0.0395,Multiracial students
70,white_percent,0.9209,White students
70,ell_percent,0.0023,English language learners
70,frpl_percent,0.28,"Students eligible for
free/reduced-price lunch"
70,swd_percent,0.1429,Students with Disabilities
71,aian_percent,0.0043,"American and
Alaska Native students"
71,asian_percent,0.0085,Asian students
71,black_percent,0.2809,Black students
71,hispanic_percent,0.666,Hispanic or Latina/o/x students
71,nhpi_percent,0.0021,"Native Hawaiian and
Pacific Islander students"
71,multiple_percent,0.0128,Multiracial students
71,white_percent,0.0255,White students
71,ell_percent,0.09,English language learners
71,frpl_percent,0.859,"Students eligible for
free/reduced-price lunch"
71,swd_percent,0.28,Students with Disabilities
79,aian_percent,0.0094,"American and
Alaska Native students"
79,asian_percent,0.0377,Asian students
79,black_percent,0.1014,Black students
79,hispanic_percent,0.434,Hispanic or Latina/o/x students
79,nhpi_percent,0.0047,"Native Hawaiian and
Pacific Islander students"
79,multiple_percent,0.0637,Multiracial students
79,white_percent,0.3491,White students
79,ell_percent,0.04,English language learners
79,frpl_percent,0.4491,"Students eligible for
free/reduced-price lunch"
79,swd_percent,0.23,Students with Disabilities
81,aian_percent,0,"American and
Alaska Native students"
81,asian_percent,0.0625,Asian students
81,black_percent,0.0855,Black students
81,hispanic_percent,0.1283,Hispanic or Latina/o/x students
81,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
81,multiple_percent,0.0461,Multiracial students
81,white_percent,0.6776,White students
81,ell_percent,0.18,English language learners
81,frpl_percent,0.4583,"Students eligible for
free/reduced-price lunch"
81,swd_percent,0.2,Students with Disabilities
83,aian_percent,0,"American and
Alaska Native students"
83,asian_percent,0.0024,Asian students
83,black_percent,0.0048,Black students
83,hispanic_percent,0.2967,Hispanic or Latina/o/x students
83,nhpi_percent,0.0048,"Native Hawaiian and
Pacific Islander students"
83,multiple_percent,0.0502,Multiracial students
83,white_percent,0.6411,White students
83,ell_percent,0.1074,English language learners
83,frpl_percent,0.6401,"Students eligible for
free/reduced-price lunch"
83,swd_percent,0,Students with Disabilities
84,aian_percent,0.0059,"American and
Alaska Native students"
84,asian_percent,0.1176,Asian students
84,black_percent,0.0059,Black students
84,hispanic_percent,0.1059,Hispanic or Latina/o/x students
84,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
84,multiple_percent,0.0529,Multiracial students
84,white_percent,0.7118,White students
84,ell_percent,0,English language learners
84,frpl_percent,0.0598,"Students eligible for
free/reduced-price lunch"
84,swd_percent,0.2053,Students with Disabilities
85,aian_percent,0.0037,"American and
Alaska Native students"
85,asian_percent,0.048,Asian students
85,black_percent,0.1033,Black students
85,hispanic_percent,0.31,Hispanic or Latina/o/x students
85,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
85,multiple_percent,0.0517,Multiracial students
85,white_percent,0.4834,White students
85,ell_percent,0.1407,English language learners
85,frpl_percent,0.3266,"Students eligible for
free/reduced-price lunch"
85,swd_percent,0.1009,Students with Disabilities
91,aian_percent,0.0064,"American and
Alaska Native students"
91,asian_percent,0,Asian students
91,black_percent,0.2751,Black students
91,hispanic_percent,0.6972,Hispanic or Latina/o/x students
91,nhpi_percent,0.0043,"Native Hawaiian and
Pacific Islander students"
91,multiple_percent,0.0128,Multiracial students
91,white_percent,0.0043,White students
91,ell_percent,0.1759,English language learners
91,frpl_percent,0.9657,"Students eligible for
free/reduced-price lunch"
91,swd_percent,0.2337,Students with Disabilities
94,aian_percent,0.0093,"American and
Alaska Native students"
94,asian_percent,0.0463,Asian students
94,black_percent,0.0833,Black students
94,hispanic_percent,0.3333,Hispanic or Latina/o/x students
94,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
94,multiple_percent,0.1157,Multiracial students
94,white_percent,0.412,White students
94,ell_percent,0.0158,English language learners
94,frpl_percent,0.5415,"Students eligible for
free/reduced-price lunch"
94,swd_percent,0.2421,Students with Disabilities
97,aian_percent,0,"American and
Alaska Native students"
97,asian_percent,0,Asian students
97,black_percent,0,Black students
97,hispanic_percent,0.0147,Hispanic or Latina/o/x students
97,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
97,multiple_percent,0.0588,Multiracial students
97,white_percent,0.9265,White students
97,ell_percent,0,English language learners
97,frpl_percent,0.7808,"Students eligible for
free/reduced-price lunch"
97,swd_percent,0.2424,Students with Disabilities
98,aian_percent,0,"American and
Alaska Native students"
98,asian_percent,0,Asian students
98,black_percent,0.9416,Black students
98,hispanic_percent,0.055,Hispanic or Latina/o/x students
98,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
98,multiple_percent,0.0034,Multiracial students
98,white_percent,0,White students
98,ell_percent,0.0139,English language learners
98,frpl_percent,0.5258,"Students eligible for
free/reduced-price lunch"
98,swd_percent,0.108,Students with Disabilities
100,aian_percent,0.0034,"American and
Alaska Native students"
100,asian_percent,0.0343,Asian students
100,black_percent,0.1029,Black students
100,hispanic_percent,0.5283,Hispanic or Latina/o/x students
100,nhpi_percent,0.0017,"Native Hawaiian and
Pacific Islander students"
100,multiple_percent,0.0772,Multiracial students
100,white_percent,0.2521,White students
100,ell_percent,0.23,English language learners
100,frpl_percent,0.4639,"Students eligible for
free/reduced-price lunch"
100,swd_percent,0.21,Students with Disabilities
101,aian_percent,0.0034,"American and
Alaska Native students"
101,asian_percent,0.0884,Asian students
101,black_percent,0.4796,Black students
101,hispanic_percent,0.1633,Hispanic or Latina/o/x students
101,nhpi_percent,0.0068,"Native Hawaiian and
Pacific Islander students"
101,multiple_percent,0.051,Multiracial students
101,white_percent,0.2075,White students
101,ell_percent,0.25,English language learners
101,frpl_percent,0.6479,"Students eligible for
free/reduced-price lunch"
101,swd_percent,0.05,Students with Disabilities
105,aian_percent,0.1111,"American and
Alaska Native students"
105,asian_percent,0.0556,Asian students
105,black_percent,0.0833,Black students
105,hispanic_percent,0.6944,Hispanic or Latina/o/x students
105,nhpi_percent,0.0556,"Native Hawaiian and
Pacific Islander students"
105,multiple_percent,0,Multiracial students
105,white_percent,0,White students
105,ell_percent,0,English language learners
105,frpl_percent,0.2974,"Students eligible for
free/reduced-price lunch"
105,swd_percent,0.1198,Students with Disabilities
119,aian_percent,0,"American and
Alaska Native students"
119,asian_percent,0,Asian students
119,black_percent,0.985,Black students
119,hispanic_percent,0,Hispanic or Latina/o/x students
119,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
119,multiple_percent,0,Multiracial students
119,white_percent,0.015,White students
119,ell_percent,0,English language learners
119,frpl_percent,1,"Students eligible for
free/reduced-price lunch"
119,swd_percent,0.0092,Students with Disabilities
120,aian_percent,0,"American and
Alaska Native students"
120,asian_percent,0.0227,Asian students
120,black_percent,0.1198,Black students
120,hispanic_percent,0.4814,Hispanic or Latina/o/x students
120,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
120,multiple_percent,0.0496,Multiracial students
120,white_percent,0.3264,White students
120,ell_percent,0.2073,English language learners
120,frpl_percent,0.5084,"Students eligible for
free/reduced-price lunch"
120,swd_percent,0.0642,Students with Disabilities
122,aian_percent,0,"American and
Alaska Native students"
122,asian_percent,0.0051,Asian students
122,black_percent,0.0508,Black students
122,hispanic_percent,0.1574,Hispanic or Latina/o/x students
122,nhpi_percent,0.0051,"Native Hawaiian and
Pacific Islander students"
122,multiple_percent,0.0609,Multiracial students
122,white_percent,0.7208,White students
122,ell_percent,0,English language learners
122,frpl_percent,0.8,"Students eligible for
free/reduced-price lunch"
122,swd_percent,0.55,Students with Disabilities
132,aian_percent,0.003,"American and
Alaska Native students"
132,asian_percent,0.0988,Asian students
132,black_percent,0.0146,Black students
132,hispanic_percent,0.3482,Hispanic or Latina/o/x students
132,nhpi_percent,0.0061,"Native Hawaiian and
Pacific Islander students"
132,multiple_percent,0.0793,Multiracial students
132,white_percent,0.45,White students
132,ell_percent,0.0042,English language learners
132,frpl_percent,0.2692,"Students eligible for
free/reduced-price lunch"
132,swd_percent,0.0515,Students with Disabilities
138,aian_percent,0.0034,"American and
Alaska Native students"
138,asian_percent,0.0068,Asian students
138,black_percent,0.6305,Black students
138,hispanic_percent,0.2475,Hispanic or Latina/o/x students
138,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
138,multiple_percent,0.0102,Multiracial students
138,white_percent,0.1017,White students
138,ell_percent,0.0071,English language learners
138,frpl_percent,0.4831,"Students eligible for
free/reduced-price lunch"
138,swd_percent,0.1879,Students with Disabilities
139,aian_percent,0,"American and
Alaska Native students"
139,asian_percent,0,Asian students
139,black_percent,0.1818,Black students
139,hispanic_percent,0.7475,Hispanic or Latina/o/x students
139,nhpi_percent,0.0101,"Native Hawaiian and
Pacific Islander students"
139,multiple_percent,0,Multiracial students
139,white_percent,0.0606,White students
139,ell_percent,0.4421,English language learners
139,frpl_percent,1,"Students eligible for
free/reduced-price lunch"
139,swd_percent,0.1474,Students with Disabilities
140,aian_percent,8e-4,"American and
Alaska Native students"
140,asian_percent,0.0134,Asian students
140,black_percent,0.0059,Black students
140,hispanic_percent,0.0168,Hispanic or Latina/o/x students
140,nhpi_percent,8e-4,"Native Hawaiian and
Pacific Islander students"
140,multiple_percent,0.0378,Multiracial students
140,white_percent,0.9245,White students
140,ell_percent,0.006,English language learners
140,frpl_percent,0.3019,"Students eligible for
free/reduced-price lunch"
140,swd_percent,0.185,Students with Disabilities
141,aian_percent,0,"American and
Alaska Native students"
141,asian_percent,0,Asian students
141,black_percent,0.4167,Black students
141,hispanic_percent,0.0833,Hispanic or Latina/o/x students
141,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
141,multiple_percent,0,Multiracial students
141,white_percent,0.5,White students
141,ell_percent,0,English language learners
141,frpl_percent,0.7,"Students eligible for
free/reduced-price lunch"
141,swd_percent,0,Students with Disabilities
144,aian_percent,0.0069,"American and
Alaska Native students"
144,asian_percent,0.0114,Asian students
144,black_percent,0,Black students
144,hispanic_percent,0.4142,Hispanic or Latina/o/x students
144,nhpi_percent,0.0114,"Native Hawaiian and
Pacific Islander students"
144,multiple_percent,0.032,Multiracial students
144,white_percent,0.524,White students
144,ell_percent,0.305,English language learners
144,frpl_percent,0.6013,"Students eligible for
free/reduced-price lunch"
144,swd_percent,0.139,Students with Disabilities
146,aian_percent,0.0125,"American and
Alaska Native students"
146,asian_percent,0.0835,Asian students
146,black_percent,0.1211,Black students
146,hispanic_percent,0.2484,Hispanic or Latina/o/x students
146,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
146,multiple_percent,0.0772,Multiracial students
146,white_percent,0.4572,White students
146,ell_percent,0.03,English language learners
146,frpl_percent,0.3978,"Students eligible for
free/reduced-price lunch"
146,swd_percent,0.22,Students with Disabilities
150,aian_percent,0.02,"American and
Alaska Native students"
150,asian_percent,0.05,Asian students
150,black_percent,0.03,Black students
150,hispanic_percent,0.05,Hispanic or Latina/o/x students
150,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
150,multiple_percent,0.1,Multiracial students
150,white_percent,0.75,White students
150,ell_percent,0.02,English language learners
150,frpl_percent,0.2,"Students eligible for
free/reduced-price lunch"
150,swd_percent,0.05,Students with Disabilities
157,aian_percent,0.0987,"American and
Alaska Native students"
157,asian_percent,0.0401,Asian students
157,black_percent,0.0443,Black students
157,hispanic_percent,0.092,Hispanic or Latina/o/x students
157,nhpi_percent,0.0017,"Native Hawaiian and
Pacific Islander students"
157,multiple_percent,0.0435,Multiracial students
157,white_percent,0.6798,White students
157,ell_percent,0.0086,English language learners
157,frpl_percent,0.1894,"Students eligible for
free/reduced-price lunch"
157,swd_percent,0.0942,Students with Disabilities
165,aian_percent,0,"American and
Alaska Native students"
165,asian_percent,0.0142,Asian students
165,black_percent,0.3184,Black students
165,hispanic_percent,0.2099,Hispanic or Latina/o/x students
165,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
165,multiple_percent,0.0778,Multiracial students
165,white_percent,0.3797,White students
165,ell_percent,0.1712,English language learners
165,frpl_percent,0.5414,"Students eligible for
free/reduced-price lunch"
165,swd_percent,0.1712,Students with Disabilities
172,aian_percent,0,"American and
Alaska Native students"
172,asian_percent,0.0064,Asian students
172,black_percent,0.8344,Black students
172,hispanic_percent,0.0955,Hispanic or Latina/o/x students
172,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
172,multiple_percent,0,Multiracial students
172,white_percent,0.0637,White students
172,ell_percent,0.025,English language learners
172,frpl_percent,0.4936,"Students eligible for
free/reduced-price lunch"
172,swd_percent,0.075,Students with Disabilities
180,aian_percent,0,"American and
Alaska Native students"
180,asian_percent,0.2054,Asian students
180,black_percent,0.0108,Black students
180,hispanic_percent,0.1459,Hispanic or Latina/o/x students
180,nhpi_percent,0.0973,"Native Hawaiian and
Pacific Islander students"
180,multiple_percent,0.2703,Multiracial students
180,white_percent,0.2703,White students
180,ell_percent,0.1751,English language learners
180,frpl_percent,0.2487,"Students eligible for
free/reduced-price lunch"
180,swd_percent,0.1243,Students with Disabilities
189,aian_percent,0,"American and
Alaska Native students"
189,asian_percent,0.0019,Asian students
189,black_percent,0.0135,Black students
189,hispanic_percent,0.9691,Hispanic or Latina/o/x students
189,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
189,multiple_percent,0.0019,Multiracial students
189,white_percent,0.0135,White students
189,ell_percent,0.0894,English language learners
189,frpl_percent,0.8921,"Students eligible for
free/reduced-price lunch"
189,swd_percent,0.0912,Students with Disabilities
197,aian_percent,0,"American and
Alaska Native students"
197,asian_percent,0.0348,Asian students
197,black_percent,0.1335,Black students
197,hispanic_percent,0.7408,Hispanic or Latina/o/x students
197,nhpi_percent,0.0077,"Native Hawaiian and
Pacific Islander students"
197,multiple_percent,0.0213,Multiracial students
197,white_percent,0.0619,White students
197,ell_percent,0.4626,English language learners
197,frpl_percent,0.8168,"Students eligible for
free/reduced-price lunch"
197,swd_percent,0.1032,Students with Disabilities
204,aian_percent,0.0053,"American and
Alaska Native students"
204,asian_percent,0.0212,Asian students
204,black_percent,0.1495,Black students
204,hispanic_percent,0.5847,Hispanic or Latina/o/x students
204,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
204,multiple_percent,0.0159,Multiracial students
204,white_percent,0.2235,White students
204,ell_percent,0.0821,English language learners
204,frpl_percent,0.7708,"Students eligible for
free/reduced-price lunch"
204,swd_percent,0.1013,Students with Disabilities
209,aian_percent,0,"American and
Alaska Native students"
209,asian_percent,0.0132,Asian students
209,black_percent,0.609,Black students
209,hispanic_percent,0.0714,Hispanic or Latina/o/x students
209,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
209,multiple_percent,0.0714,Multiracial students
209,white_percent,0.235,White students
209,ell_percent,0.0379,English language learners
209,frpl_percent,0.1536,"Students eligible for
free/reduced-price lunch"
209,swd_percent,0.1742,Students with Disabilities
225,aian_percent,0.0017,"American and
Alaska Native students"
225,asian_percent,0.0618,Asian students
225,black_percent,0.0237,Black students
225,hispanic_percent,0.6314,Hispanic or Latina/o/x students
225,nhpi_percent,0.0012,"Native Hawaiian and
Pacific Islander students"
225,multiple_percent,0.0173,Multiracial students
225,white_percent,0.2629,White students
225,ell_percent,0.1356,English language learners
225,frpl_percent,0.3834,"Students eligible for
free/reduced-price lunch"
225,swd_percent,0.1153,Students with Disabilities
228,aian_percent,0.0084,"American and
Alaska Native students"
228,asian_percent,0.0308,Asian students
228,black_percent,0.1176,Black students
228,hispanic_percent,0.6723,Hispanic or Latina/o/x students
228,nhpi_percent,0.0056,"Native Hawaiian and
Pacific Islander students"
228,multiple_percent,0.0224,Multiracial students
228,white_percent,0.1429,White students
228,ell_percent,0.2861,English language learners
228,frpl_percent,0.7097,"Students eligible for
free/reduced-price lunch"
228,swd_percent,0.0649,Students with Disabilities
234,aian_percent,0.0028,"American and
Alaska Native students"
234,asian_percent,0.011,Asian students
234,black_percent,0.0055,Black students
234,hispanic_percent,0.0165,Hispanic or Latina/o/x students
234,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
234,multiple_percent,0.0275,Multiracial students
234,white_percent,0.9366,White students
234,ell_percent,0,English language learners
234,frpl_percent,0.1007,"Students eligible for
free/reduced-price lunch"
234,swd_percent,0.0514,Students with Disabilities
235,aian_percent,0,"American and
Alaska Native students"
235,asian_percent,0.0499,Asian students
235,black_percent,0.0416,Black students
235,hispanic_percent,0.5738,Hispanic or Latina/o/x students
235,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
235,multiple_percent,0.0229,Multiracial students
235,white_percent,0.3119,White students
235,ell_percent,0.0061,English language learners
235,frpl_percent,0.2231,"Students eligible for
free/reduced-price lunch"
235,swd_percent,0.0328,Students with Disabilities
236,aian_percent,0.0087,"American and
Alaska Native students"
236,asian_percent,0.0174,Asian students
236,black_percent,0.0957,Black students
236,hispanic_percent,0.4261,Hispanic or Latina/o/x students
236,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
236,multiple_percent,0.087,Multiracial students
236,white_percent,0.3652,White students
236,ell_percent,0.03,English language learners
236,frpl_percent,0.6421,"Students eligible for
free/reduced-price lunch"
236,swd_percent,0.23,Students with Disabilities
237,aian_percent,0.0154,"American and
Alaska Native students"
237,asian_percent,0,Asian students
237,black_percent,0.0193,Black students
237,hispanic_percent,0.8842,Hispanic or Latina/o/x students
237,nhpi_percent,0.0039,"Native Hawaiian and
Pacific Islander students"
237,multiple_percent,0.0039,Multiracial students
237,white_percent,0.0734,White students
237,ell_percent,0.12,English language learners
237,frpl_percent,1,"Students eligible for
free/reduced-price lunch"
237,swd_percent,0.3,Students with Disabilities
241,aian_percent,0,"American and
Alaska Native students"
241,asian_percent,0.0378,Asian students
241,black_percent,0.0284,Black students
241,hispanic_percent,0.0132,Hispanic or Latina/o/x students
241,nhpi_percent,0.0019,"Native Hawaiian and
Pacific Islander students"
241,multiple_percent,0.0095,Multiracial students
241,white_percent,0.9093,White students
241,ell_percent,0.0043,English language learners
241,frpl_percent,0.142,"Students eligible for
free/reduced-price lunch"
241,swd_percent,0.1484,Students with Disabilities
246,aian_percent,0.0542,"American and
Alaska Native students"
246,asian_percent,0.0361,Asian students
246,black_percent,0.0723,Black students
246,hispanic_percent,0.759,Hispanic or Latina/o/x students
246,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
246,multiple_percent,0,Multiracial students
246,white_percent,0.0783,White students
246,ell_percent,0.96,English language learners
246,frpl_percent,0.99,"Students eligible for
free/reduced-price lunch"
246,swd_percent,0.09,Students with Disabilities
247,aian_percent,0.01,"American and
Alaska Native students"
247,asian_percent,0.15,Asian students
247,black_percent,0.04,Black students
247,hispanic_percent,0.07,Hispanic or Latina/o/x students
247,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
247,multiple_percent,0.05,Multiracial students
247,white_percent,0.68,White students
247,ell_percent,0.02,English language learners
247,frpl_percent,0.06,"Students eligible for
free/reduced-price lunch"
247,swd_percent,0.13,Students with Disabilities
251,aian_percent,0,"American and
Alaska Native students"
251,asian_percent,0.04,Asian students
251,black_percent,0.04,Black students
251,hispanic_percent,0.04,Hispanic or Latina/o/x students
251,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
251,multiple_percent,0.08,Multiracial students
251,white_percent,0.8,White students
251,ell_percent,0,English language learners
251,frpl_percent,0.45,"Students eligible for
free/reduced-price lunch"
251,swd_percent,0.2,Students with Disabilities
266,aian_percent,0,"American and
Alaska Native students"
266,asian_percent,0.15,Asian students
266,black_percent,0.05,Black students
266,hispanic_percent,0.2,Hispanic or Latina/o/x students
266,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
266,multiple_percent,0.05,Multiracial students
266,white_percent,0.55,White students
266,ell_percent,0,English language learners
266,frpl_percent,0,"Students eligible for
free/reduced-price lunch"
266,swd_percent,0,Students with Disabilities
275,aian_percent,0,"American and
Alaska Native students"
275,asian_percent,0.0045,Asian students
275,black_percent,0.0091,Black students
275,hispanic_percent,0.0091,Hispanic or Latina/o/x students
275,nhpi_percent,0,"Native Hawaiian and
Pacific Islander students"
275,multiple_percent,0.0091,Multiracial students
275,white_percent,0.9682,White students
275,ell_percent,0,English language learners
275,frpl_percent,0.5566,"Students eligible for
free/reduced-price lunch"
275,swd_percent,0.1297,Students with Disabilities
276,aian_percent,0,"American and
Alaska Native students"
276,asian_percent,0.01,Asian students
276,black_percent,0.19,Black students
