response,term,estimate,std.error,nice_tag,nice_demog,plot_labs,.group
practices_student_conferences,frpl_percent,-0.23191882677606887,0.2074700323237161,student-led conferences,% FRPL eligible,Schools with higher-than-average % students eligible for free/reduced-price lunch,2
practices_real_world,frpl_percent,-0.18480964904738537,0.2685731302541565,real-world problem solving,% FRPL eligible,Schools with higher-than-average % students eligible for free/reduced-price lunch,2
practices_advancement_mastery,frpl_percent,0.1776616317908031,0.2163704632872762,advancement on mastery,% FRPL eligible,Schools with higher-than-average % students eligible for free/reduced-price lunch,2
practices_culturally_responsive,non_white_percent,0.7414367974478406,0.27567122527859855,culturally responsive practices,% students of color,Schools with higher-than-average % BIPOC students,3
practices_assessments_career,non_white_percent,0.4193485983734986,0.22611644366607506,career readiness assessments,% students of color,Schools with higher-than-average % BIPOC students,3
practices_restorative,non_white_percent,0.3617331821344109,0.2557717080194098,restorative practices,% students of color,Schools with higher-than-average % BIPOC students,3
practices_competency_framework,non_white_percent,-0.320928904297939,0.2177056493349292,competency framework,% students of color,Schools with higher-than-average % BIPOC students,3
practices_early_college,non_white_percent,-0.3172191179895859,0.2481254999821578,early college high school,% students of color,Schools with higher-than-average % BIPOC students,3
practices_assessments_deeper,non_white_percent,0.2591023667730244,0.24952449508193694,deeper learning assessments,% students of color,Schools with higher-than-average % BIPOC students,3
practices_industry_credentials,non_white_percent,0.2544251616424942,0.24075042312772027,industry credentials,% students of color,Schools with higher-than-average % BIPOC students,3
practices_interoperability,non_white_percent,0.2534214811700719,0.26875931277063453,interoperability,% students of color,Schools with higher-than-average % BIPOC students,3
practices_mtss_academics,non_white_percent,-0.2353355607213263,0.20763349513209692,multi-tiered system of support in academics,% students of color,Schools with higher-than-average % BIPOC students,3
practices_student_projects,non_white_percent,0.21314295818030596,0.24830998493743103,students develop projects,% students of color,Schools with higher-than-average % BIPOC students,3
practices_design_marginalized,swd_percent,0.6043825627185505,0.3339265651520285,design to meet needs of students who have been marginalized,% Students with Disabilities,Schools with higher-than-average % students with disabilities,4
practices_elimination_tracking,swd_percent,-0.28064449553526977,0.2030676637461514,elimination of tracked classes,% Students with Disabilities,Schools with higher-than-average % students with disabilities,4
practices_a_la_carte,swd_percent,0.23834250186658562,0.21083268805030747,à la carte model,% Students with Disabilities,Schools with higher-than-average % students with disabilities,4
practices_assessments_sel,swd_percent,0.19707274747526232,0.2340676244468672,social-emotional skills assessments,% Students with Disabilities,Schools with higher-than-average % students with disabilities,4
practices_social_justice,swd_percent,0.1810187636941623,0.1888924297332667,social justice focus,% Students with Disabilities,Schools with higher-than-average % students with disabilities,4
practices_student_data,swd_percent,-0.17593725195038135,0.19581513463459682,students access their own data,% Students with Disabilities,Schools with higher-than-average % students with disabilities,4
practices_tutoring,swd_percent,0.1753563619085333,0.19016712273657774,tutoring,% Students with Disabilities,Schools with higher-than-average % students with disabilities,4
practices_grading_mastery,swd_percent,0.17355005329093542,0.20786673964988753,grading policies focus on mastery,% Students with Disabilities,Schools with higher-than-average % students with disabilities,4
practices_service_learning,swd_percent,0.1597638146639765,0.19639687466573738,service learning,% Students with Disabilities,Schools with higher-than-average % students with disabilities,4
practices_station_rotation,swd_percent,0.14392822181022374,0.1912326837793643,station rotation,% Students with Disabilities,Schools with higher-than-average % students with disabilities,4
