short name,Name,Description,Variable name,2020-21 equivalent,Years used,2021-22 Cluster,2018-19 equivalent
expanded open hours,expanded open hours,The learning environment is open outside of normal hours and during vacations to support learning and offer services.,practices_expanded_open_hours,open_hours,"2018-19,2020-21,2021-22",Set 2,open_hours
multiple opportunities to demonstrate mastery,multiple opportunities to demonstrate mastery,Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,practices_opportunities_mastery,opportunities_mastery,"2018-19,2020-21,2021-22",Set 5,opportunities_mastery
project-based learning,project-based learning,"Students learn through answering complex questions or solving for real-world problems. Also called problem-based learning, inquiry-based learning, or learning-by-doing.",practices_pbl,pbl,"2018-19,2020-21,2021-22",Set 3,pbl
peer to peer support,peer to peer support,"The learning environment creates deliberate structures and processes for peer support, e.g. peer mentorship, peer tutoring, peer assessment, accountability partners, etc.",practices_peer_to_peer,peer_to_peer,"2020-21,2021-22",Set 3,
performance based assessment,performance based assessment,"In assessments, students apply knowledge or demonstrate a skill rather than selecting a correct answer on a test. ",practices_performance_assessment,performance_assessment,"2018-19,2020-21,2021-22",Set 5,performance_assessment
physical well being services,physical well being services,"The learning environment offers (or partners to offer) comprehensive services to support the physical health and well-being of students, e.g. supports related to nutrition, housing, abuse, bullying.",practices_physical_well_being,physical_well_being,"2018-19,2020-21,2021-22",Set 2,physical_health
place-based learning,place-based learning,"The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.",practices_place_based,place_based,"2018-19,2020-21,2021-22",Set 3,local_focus
portfolios and public exhibitions,portfolios and public exhibitions of student work,"Students collect and share evidence of their work over time to demonstrate their learning and growth, and independently present their projects, reflect on their learning, and share progress towards their goals for an audience.",practices_portfolios_exhibitions,portfolios_exhibitions,"2018-19,2020-21,2021-22",Set 3,"combination of ""portfolios"" and ""exhibitions"""
real-world problem solving,real-world problem solving,"Student projects involve action steps to solve or meaningfully improve real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company).",practices_real_world,real_world,"2018-19,2020-21,2021-22",Set 3,real_world
reallocation of resources for those most in need,reallocation of resources for those most in need,Example: assigning most experienced and highest skilled teachers to students needing the most help.,practices_reallocation_resources,reallocation_resources,"2018-19,2020-21,2021-22",Set 1,reallocation_resources
restorative practices,restorative practices,Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.),practices_restorative,restorative_practice,"2018-19,2020-21,2021-22",Set 1,restorative_practice
social-emotional learning curriculum,SEL curriculum,The learning environment has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,practices_sel_curriculum,sel_curriculum,"2018-19,2020-21,2021-22",Set 2,sel_curriculum
schoolwide social-emotional learning integration,SEL integration school-wide,The learning environment integrates social and emotional learning throughout the academic curriculum and other activities (in contrast to a stand-alone SEL curriculum).,practices_sel_integrated,sel_integrated,"2018-19,2020-21,2021-22",Set 2,sel_integrated
service learning,service learning,"Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.",practices_service_learning,service_learning,"2018-19,2020-21,2021-22",Set 3,service_learning
social justice focus,social justice focus,"The learning environment uses a social justice lens to design curriculum, instruction, policies, and community engagement. This could include work to understand and address large, complex social issues such as poverty, food insecurity, racism, and environmental justice.",practices_social_justice,social_justice,"2020-21,2021-22",Set 1,
station rotation,station rotation,"A blended learning model in which students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station. In some cases the online learning station may be a computer lab (also known as ""lab rotation"").",practices_station_rotation,station_rotation,"2018-19,2020-21,2021-22",Set 4,station_rotation
student-led conferences,student-led conferences,"Students plan and lead a meeting including parents and teachers to discuss the student's learning, growth, and/or Individual Education Program (IEP) if applicable. (As opposed to parent-teacher conferences without students present.)",practices_student_conferences,student_conferences,"2018-19,2020-21,2021-22",Set 2,student_conferences
students access their own data,students access their own data,Students (and families) can access their own learning and assessment data in real time.,practices_student_data,student_data,"2018-19,2020-21,2021-22",Set 4,student_data
student-led goal setting,student-led goal setting,"Students set and pursue their own learning goals, as well as self-assess their progress.",practices_student_goals,student_goals,"2018-19,2020-21,2021-22",Set 5,student_goals
students progress at own pace,students progress at own pace,Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,practices_student_pace,student_pace,"2018-19,2020-21,2021-22",Set 5,student_pace
students develop projects,students develop projects,"Students are partners and leaders in designing, implementing, and assessing projects.",practices_student_projects,student_projects,"2018-19,2020-21,2021-22",Set 3,student_projects
teachers as co-leaders,teachers as co-leaders,"The learning environment involves teachers in shared decision-making, and communicates how teacher input has informed decision-making. Teachers make decisions in areas such as learning environment success, curriculum, budget, evaluating their colleagues, selecting personnel, and more.",practices_teachers_leaders,teachers_leaders,"2020-21,2021-22",Set 2,
trauma-informed practices,trauma-informed practices,"Adults are trained to recognize and respond to those who have been impacted by traumatic stress, and students are provided with clear expectations and communication strategies to guide them through stressful situations.",practices_trauma_informed,trauma_informed,"2020-21,2021-22",Set 1,
tutoring,tutoring,"In high-impact tutoring, students work with a consistent tutor, multiple times per week, in sessions that are integrated with the learning environment's curriculum and schedule (as opposed to a supplemental or out-of-school program).",practices_tutoring,tutoring,"2020-21,2021-22",Set 6,
universal design for learning,universal design for learning,"The learning environment is designed to proactively meet the needs of all learners by identifying barriers to learning in the design of the environment, not in the student. This helps educators differentiate to effectively instruct a diverse group of students, regardless of whether students have an Individualized Education Program (IEP).",practices_udl,udl,"2018-19,2020-21,2021-22",Set 5,udl
disaggregated data on student participation,disaggregated data on student participation,"The learning environment tracks data on the extent to which different groups of students (e.g., by race, gender, disability, socioeconomic status) participate in programs to ensure that students have equitable access.",practices_disaggregated_participation_data,,2021-22,Set 1,
students as co-leaders,students as co-leaders,"The learning environment involves students in shared decision-making, and communicates how student input has informed decision-making. This may include strategies such as student advisory councils, input on curriculum and culture-setting, etc.",practices_students_leaders,,2021-22,Set 2,
all virtual pathway,all virtual pathway,"Some (but not all) students in this learning environment complete their coursework and learning activities entirely at home or in another space of their choice, without coming to a physical learning environment.",practices_virtual_pathway,,2021-22,Set 4,
multi-tiered system of support in academics,multi-tiered system of support (MTSS) in academics,"The learning environment has an explicit multi-tiered system of support wherein students progress is monitored for all students, and students who are progressing at a slower pace are provided with structured academic interventions aligned to their academic needs with varying tiers of intensity. Progress is tracked in an ongoing manner for all students to inform fluid intervention decisions.",practices_mtss_academics,,2021-22,Set 5,
